origin,destination
"-36.86671622734623, 174.74985089032887","-37.68512409733674, 176.13186684906205"
"-37.6681959799579, 176.1229160334816","-36.84595373896535, 175.6993163816193"
"-39.636394282836115, 176.8501932899622","-37.90544420256185, 178.32483039274757"
"-41.53392849669936, 173.97836003801052","-45.07593573554579, 168.8435992129546"
"-36.880272890871375, 174.70738477214","-36.84750998746391, 174.7847176461253"
"-36.91459534612954, 174.84304981787906","-36.880008807910315, 174.63081818388514"
"-37.00308628604343, 174.87262265474033","-36.86040883720976, 174.63308796702623"
"-36.90882513503721, 174.68662881900758","-36.91943272551648, 174.85182827699964"
"-36.980898611739505, 174.78248418242015","-36.93837409988664, 174.89236591897392"
"-37.00529126032739, 174.86564478671826","-36.92153588845331, 174.84862024588682"
